Date, Open, High, Low, Close, Volume
01/11/23, 158.395, 160.28, 155.63, 160.01, 35328488
01/10/23, 155.07, 159.6199, 154.72, 159.09, 38410129
01/09/23, 152.84, 160.56, 151.41, 156.28, 50423059
01/06/23, 144.74, 150.10, 140.34, 148.59, 40504359
01/05/23, 144.91, 145.64, 141.4795, 142.65, 38916809
01/04/23, 145.67, 148.53, 142.41, 147.49, 43132359
01/03/23, 148.51, 149.96, 140.96, 143.15, 40127660
12/30/22, 143.34, 146.2899, 142.33, 146.14, 31048980
12/29/22, 144.02, 146.83, 142.27, 146.03, 35492320
12/28/22, 139.27, 142.62, 138.84, 140.36, 35106648
12/27/22, 150.74, 151.00, 140.56, 141.21, 46490230
12/23/22, 151.96, 153.39, 148.83, 152.06, 34932559
12/22/22, 160.935, 161.38, 148.82, 153.39, 56504527
12/21/22, 161.14, 166.27, 161.02, 165.01, 32502539
12/20/22, 160.64, 163.10, 158.52, 160.85, 40325980
12/19/22, 165.72, 166.09, 161.45, 162.54, 35403879
12/16/22, 168.642, 170.41, 164.10, 165.71, 47823191
12/15/22, 171.46, 173.20, 167.00, 169.52, 47854207
12/14/22, 179.87, 182.52, 174.20, 176.74, 49688809
12/13/22, 185.31, 187.90, 177.11, 180.72, 65658883
12/12/22, 170.37, 175.38, 167.97, 175.35, 45732781
12/09/22, 171.60, 175.83, 169.75, 170.01, 46533820
12/08/22, 162.73, 171.79, 159.59, 171.69, 51545551
12/07/22, 157.72, 161.86, 156.67, 161.20, 37238762
12/06/22, 165.30, 165.73, 158.19, 159.87, 35269434
12/05/22, 166.79, 169.95, 164.7201, 166.10, 35225520
12/02/22, 166.59, 169.3257, 164.45, 168.76, 37138859
12/01/22, 169.99, 172.65, 166.35, 171.35, 47097660
11/30/22, 156.97, 169.30, 155.97, 169.23, 56529820
11/29/22, 158.27, 159.32, 155.20, 156.39, 29838449
11/28/22, 160.26, 163.57, 157.25, 158.27, 30415199
11/25/22, 163.18, 164.87, 161.72, 162.70, 16793430
11/23/22, 160.98, 165.27, 160.4801, 165.19, 42724090
11/22/22, 153.28, 160.5757, 151.216, 160.38, 47286609
11/21/22, 151.47, 154.77, 150.80, 153.17, 40473930
11/18/22, 159.66, 160.02, 151.2001, 154.09, 49207168
11/17/22, 157.15, 162.66, 155.35, 156.77, 71089359
11/16/22, 161.615, 163.62, 158.73, 159.10, 64954680
11/15/22, 167.215, 169.98, 163.82, 166.66, 54587551
11/14/22, 162.18, 165.40, 159.22, 162.95, 52785246
11/11/22, 158.075, 163.89, 154.82, 163.27, 65548750
11/10/22, 148.00, 157.73, 145.47, 157.50, 70081930
11/09/22, 141.615, 142.11, 137.5901, 137.76, 45441367
11/08/22, 148.01, 148.9101, 142.16, 146.02, 59529199
11/07/22, 142.28, 144.12, 139.54, 143.01, 41006102
11/04/22, 139.86, 142.29, 136.97, 141.56, 61257594
11/03/22, 130.43, 137.81, 129.56, 134.21, 50006488
11/02/22, 138.50, 142.10, 132.1124, 132.19, 67262781
11/01/22, 138.11, 139.25, 135.19, 135.43, 43281688
10/31/22, 137.78, 138.38, 132.97, 134.97, 48634102
10/28/22, 131.04, 138.50, 130.61, 138.34, 52103992
10/27/22, 136.30, 138.38, 131.22, 131.76, 58311312
10/26/22, 128.69, 133.88, 127.08, 128.96, 53553328
10/25/22, 126.935, 133.00, 126.64, 132.61, 50548230
10/24/22, 125.08, 127.10, 120.64, 125.99, 51745738
10/21/22, 120.982, 124.98, 118.87, 124.66, 60949441
10/20/22, 121.13, 127.69, 121.05, 121.94, 65239762
10/19/22, 118.79, 123.50, 118.34, 120.51, 52313059
10/18/22, 123.44, 124.92, 116.18, 119.67, 65936211
10/17/22, 115.18, 119.48, 115.17, 118.88, 58077422
10/14/22, 120.57, 121.11, 112.04, 112.27, 71343203
10/13/22, 109.71, 120.7799, 108.13, 119.60, 85010305
10/12/22, 115.79, 117.35, 113.45, 115.00, 49259020
10/11/22, 115.61, 118.46, 112.83, 115.86, 66748156
10/10/22, 120.37, 121.2432, 114.0812, 116.70, 69869930
10/07/22, 125.05, 126.70, 120.22, 120.76, 67247820
10/06/22, 132.20, 136.56, 131.03, 131.30, 64415688
10/05/22, 129.107, 133.21, 126.21, 132.09, 50713070
