Date, Open, High, Low, Close, Volume
02/13/23, 469036, 477979, 469036, 476500, 5473
02/10/23, 466217, 472500, 463632, 472250, 4101
02/09/23, 470094, 472222, 466020, 466020, 3742
02/08/23, 471620, 475125, 467125, 467999, 3996
02/07/23, 467395, 475500, 463820, 474555, 4101
02/06/23, 465407, 467096, 462434, 467000, 5014
02/03/23, 471303, 471795, 462757, 466755, 4601
02/02/23, 473852, 474898, 467055, 472115, 4593
02/01/23, 469923, 473690, 464528, 470606, 4420
01/31/23, 467725, 473000, 463085, 473000, 3909
01/30/23, 466790, 469540, 464932, 465040, 5256
01/27/23, 468410, 472885, 466576, 470000, 4191
01/26/23, 474037, 475336, 468469, 469960, 3874
01/25/23, 468228, 472800, 464975, 471658, 3772
01/24/23, 465721, 473445, 465720, 471000, 3538
01/23/23, 471130, 473025, 464929, 469600, 5280
01/20/23, 463914, 469755, 460635, 469645, 3829
01/19/23, 462498, 465065, 460233, 461950, 3632
01/18/23, 477497, 479230, 465831, 466260, 4122
01/17/23, 481590, 483993, 475695, 476000, 5659
01/13/23, 482430, 482430, 478000, 481021, 3858
01/12/23, 486177, 488688, 480600, 482860, 3778
01/11/23, 482167, 484897, 478730, 483990, 3606
01/10/23, 476224, 479698, 474512, 479420, 3484
01/09/23, 483575, 487989, 476653, 478385, 5500
01/06/23, 475990, 484151, 473300, 481955, 3880
01/05/23, 481229, 481229, 469228, 473660, 3430
01/04/23, 477479, 479897, 470151, 476260, 3722
01/03/23, 472950, 473990, 465020, 469525, 5256
12/30/22, 469317, 469317, 462800, 468711, 3357
12/29/22, 462715, 470000, 460730, 468725, 3040
12/28/22, 465000, 465235, 445251, 459800, 3030
12/27/22, 475795, 476155, 461000, 461955, 4470
12/23/22, 458596, 463510, 455892, 463400, 2803
12/22/22, 465427, 469810, 450709, 458700, 3219
12/21/22, 463000, 469220, 459151, 467600, 3037
12/20/22, 457049, 460698, 446545, 457400, 2736
12/19/22, 456494, 457244, 450245, 455280, 3814
12/16/22, 453163, 457890, 450050, 454620, 2990
12/15/22, 464250, 464250, 452975, 457460, 3376
12/14/22, 473080, 477700, 466452, 468020, 2907
12/13/22, 482503, 483393, 469410, 472000, 3043
12/12/22, 465650, 471235, 461796, 471080, 3864
12/09/22, 461773, 466120, 459402, 463000, 2781
12/08/22, 462436, 464620, 460612, 462780, 2647
