Date, Open, High, Low, Close
02/23/23, 1457.65, 1457.65, 1457.65, 1457.65
02/22/23, 1464.00, 1464.00, 1464.00, 1464.00
02/21/23, 1474.01, 1474.01, 1474.01, 1474.01
02/20/23, 1473.46, 1473.46, 1473.46, 1473.46
02/17/23, 1476.90, 1476.90, 1476.90, 1476.90
02/16/23, 1484.26, 1484.26, 1484.26, 1484.26
02/15/23, 1488.19, 1488.19, 1488.19, 1488.19
02/14/23, 1483.97, 1483.97, 1483.97, 1483.97
02/13/23, 1475.17, 1475.17, 1475.17, 1475.17
02/10/23, 1474.59, 1474.59, 1474.59, 1474.59
02/09/23, 1464.64, 1464.64, 1464.64, 1464.64
02/08/23, 1470.75, 1470.75, 1470.75, 1470.75
02/07/23, 1476.38, 1476.38, 1476.38, 1476.38
02/03/23, 1490.47, 1490.47, 1490.47, 1490.47
02/02/23, 1489.80, 1489.80, 1489.80, 1489.80
01/31/23, 1485.50, 1485.50, 1485.50, 1485.50
01/30/23, 1499.39, 1499.39, 1499.39, 1499.39
01/27/23, 1497.55, 1497.55, 1497.55, 1497.55
01/26/23, 1498.39, 1498.39, 1498.39, 1498.39
01/25/23, 1499.45, 1499.45, 1499.45, 1499.45
01/20/23, 1500.33, 1500.33, 1500.33, 1500.33
01/19/23, 1496.22, 1496.22, 1496.22, 1496.22
01/18/23, 1495.50, 1495.50, 1495.50, 1495.50
01/17/23, 1499.38, 1499.38, 1499.38, 1499.38
01/16/23, 1493.56, 1493.56, 1493.56, 1493.56
01/13/23, 1495.03, 1495.03, 1495.03, 1495.03
01/12/23, 1488.66, 1488.66, 1488.66, 1488.66
01/11/23, 1487.87, 1487.87, 1487.87, 1487.87
01/10/23, 1485.13, 1485.13, 1485.13, 1485.13
01/09/23, 1493.42, 1493.42, 1493.42, 1493.42
01/06/23, 1480.55, 1480.55, 1480.55, 1480.55
01/05/23, 1480.93, 1480.93, 1480.93, 1480.93
01/04/23, 1469.55, 1469.55, 1469.55, 1469.55
01/03/23, 1473.99, 1473.99, 1473.99, 1473.99
12/30/22, 1495.49, 1495.49, 1495.49, 1495.49
12/29/22, 1491.63, 1491.63, 1491.63, 1491.63
12/28/22, 1480.11, 1480.11, 1480.11, 1480.11
12/27/22, 1474.69, 1474.69, 1474.69, 1474.69
12/23/22, 1474.68, 1474.68, 1474.68, 1474.68
12/22/22, 1468.35, 1468.35, 1468.35, 1468.35
12/21/22, 1462.55, 1462.55, 1462.55, 1462.55
12/20/22, 1467.32, 1467.32, 1467.32, 1467.32
12/19/22, 1477.09, 1477.09, 1477.09, 1477.09
12/16/22, 1478.54, 1478.54, 1478.54, 1478.54
12/15/22, 1467.13, 1467.13, 1467.13, 1467.13
12/14/22, 1483.17, 1483.17, 1483.17, 1483.17
12/13/22, 1470.12, 1470.12, 1470.12, 1470.12
12/12/22, 1474.38, 1474.38, 1474.38, 1474.38
12/09/22, 1477.19, 1477.19, 1477.19, 1477.19
12/08/22, 1465.93, 1465.93, 1465.93, 1465.93
12/07/22, 1466.88, 1466.88, 1466.88, 1466.88
12/06/22, 1471.55, 1471.55, 1471.55, 1471.55
12/05/22, 1471.56, 1471.56, 1471.56, 1471.56
12/02/22, 1481.80, 1481.80, 1481.80, 1481.80
12/01/22, 1491.51, 1491.51, 1491.51, 1491.51
11/30/22, 1488.80, 1488.80, 1488.80, 1488.80
11/29/22, 1476.96, 1476.96, 1476.96, 1476.96
11/25/22, 1486.54, 1486.54, 1486.54, 1486.54
11/24/22, 1501.88, 1501.88, 1501.88, 1501.88
11/23/22, 1443.50, 1443.50, 1443.50, 1443.50
11/22/22, 1441.29, 1441.29, 1441.29, 1441.29
11/21/22, 1447.96, 1447.96, 1447.96, 1447.96
11/17/22, 1449.32, 1449.32, 1449.32, 1449.32
11/16/22, 1448.38, 1448.38, 1448.38, 1448.38
11/15/22, 1450.54, 1450.54, 1450.54, 1450.54
11/14/22, 1464.00, 1464.00, 1464.00, 1464.00
11/11/22, 1468.21, 1468.21, 1468.21, 1468.21
11/10/22, 1449.74, 1449.74, 1449.74, 1449.74
11/09/22, 1446.19, 1446.19, 1446.19, 1446.19
11/08/22, 1441.35, 1441.35, 1441.35, 1441.35
11/07/22, 1442.12, 1442.12, 1442.12, 1442.12
11/04/22, 1438.28, 1438.28, 1438.28, 1438.28
11/03/22, 1420.38, 1420.38, 1420.38, 1420.38
11/02/22, 1451.61, 1451.61, 1451.61, 1451.61
11/01/22, 1445.92, 1445.92, 1445.92, 1445.92
10/31/22, 1460.38, 1460.38, 1460.38, 1460.38
10/28/22, 1447.31, 1447.31, 1447.31, 1447.31
10/27/22, 1454.09, 1454.09, 1454.09, 1454.09
10/26/22, 1454.98, 1454.98, 1454.98, 1454.98
10/25/22, 1444.41, 1444.41, 1444.41, 1444.41
10/21/22, 1446.42, 1446.42, 1446.42, 1446.42
10/20/22, 1437.72, 1437.72, 1437.72, 1437.72
10/19/22, 1415.10, 1415.10, 1415.10, 1415.10
10/18/22, 1400.36, 1400.36, 1400.36, 1400.36
10/17/22, 1386.27, 1386.27, 1386.27, 1386.27
10/14/22, 1382.47, 1382.47, 1382.47, 1382.47
10/13/22, 1373.36, 1373.36, 1373.36, 1373.36
10/12/22, 1380.57, 1380.57, 1380.57, 1380.57
10/11/22, 1386.82, 1386.82, 1386.82, 1386.82
10/07/22, 1406.00, 1406.00, 1406.00, 1406.00
10/06/22, 1420.43, 1420.43, 1420.43, 1420.43
10/05/22, 1420.55, 1420.55, 1420.55, 1420.55
10/04/22, 1409.36, 1409.36, 1409.36, 1409.36
10/03/22, 1397.62, 1397.62, 1397.62, 1397.62
09/30/22, 1394.63, 1394.63, 1394.63, 1394.63
09/29/22, 1397.50, 1397.50, 1397.50, 1397.50
09/28/22, 1401.89, 1401.89, 1401.89, 1401.89
09/27/22, 1410.87, 1410.87, 1410.87, 1410.87
09/26/22, 1413.04, 1413.04, 1413.04, 1413.04
09/23/22, 1424.98, 1424.98, 1424.98, 1424.98
09/22/22, 1439.16, 1439.16, 1439.16, 1439.16
09/21/22, 1447.18, 1447.18, 1447.18, 1447.18
09/20/22, 1461.10, 1461.10, 1461.10, 1461.10
09/19/22, 1451.52, 1451.52, 1451.52, 1451.52
09/15/22, 1467.31, 1467.31, 1467.31, 1467.31
09/14/22, 1468.44, 1468.44, 1468.44, 1468.44
09/13/22, 1487.84, 1487.84, 1487.84, 1487.84
09/12/22, 1497.96, 1497.96, 1497.96, 1497.96
09/09/22, 1496.53, 1496.53, 1496.53, 1496.53
09/08/22, 1494.73, 1494.73, 1494.73, 1494.73
09/07/22, 1491.35, 1491.35, 1491.35, 1491.35
09/06/22, 1488.27, 1488.27, 1488.27, 1488.27
09/05/22, 1489.80, 1489.80, 1489.80, 1489.80
09/02/22, 1491.18, 1491.18, 1491.18, 1491.18
09/01/22, 1491.95, 1491.95, 1491.95, 1491.95
08/30/22, 1512.05, 1512.05, 1512.05, 1512.05
08/29/22, 1501.57, 1501.57, 1501.57, 1501.57
08/26/22, 1500.29, 1500.29, 1500.29, 1500.29
08/25/22, 1495.49, 1495.49, 1495.49, 1495.49
08/24/22, 1467.26, 1467.26, 1467.26, 1467.26
08/23/22, 1482.57, 1482.57, 1482.57, 1482.57
08/22/22, 1487.37, 1487.37, 1487.37, 1487.37
08/19/22, 1504.44, 1504.44, 1504.44, 1504.44
08/18/22, 1516.62, 1516.62, 1516.62, 1516.62
08/17/22, 1518.16, 1518.16, 1518.16, 1518.16
08/16/22, 1518.78, 1518.78, 1518.78, 1518.78
08/15/22, 1504.01, 1504.01, 1504.01, 1504.01
08/12/22, 1506.19, 1506.19, 1506.19, 1506.19
08/11/22, 1505.56, 1505.56, 1505.56, 1505.56
08/10/22, 1492.33, 1492.33, 1492.33, 1492.33
08/09/22, 1497.68, 1497.68, 1497.68, 1497.68
08/08/22, 1496.03, 1496.03, 1496.03, 1496.03
08/05/22, 1501.55, 1501.55, 1501.55, 1501.55
08/04/22, 1507.71, 1507.71, 1507.71, 1507.71
08/03/22, 1490.57, 1490.57, 1490.57, 1490.57
08/02/22, 1495.05, 1495.05, 1495.05, 1495.05
08/01/22, 1502.07, 1502.07, 1502.07, 1502.07
07/29/22, 1492.23, 1492.23, 1492.23, 1492.23
07/28/22, 1491.20, 1491.20, 1491.20, 1491.20
07/27/22, 1470.71, 1470.71, 1470.71, 1470.71
07/26/22, 1463.69, 1463.69, 1463.69, 1463.69
07/25/22, 1469.22, 1469.22, 1469.22, 1469.22
07/22/22, 1465.80, 1465.80, 1465.80, 1465.80
07/21/22, 1450.32, 1450.32, 1450.32, 1450.32
07/20/22, 1436.98, 1436.98, 1436.98, 1436.98
07/19/22, 1428.76, 1428.76, 1428.76, 1428.76
07/18/22, 1429.54, 1429.54, 1429.54, 1429.54
07/15/22, 1418.44, 1418.44, 1418.44, 1418.44
07/14/22, 1420.06, 1420.06, 1420.06, 1420.06
07/13/22, 1411.32, 1411.32, 1411.32, 1411.32
07/12/22, 1426.08, 1426.08, 1426.08, 1426.08
07/08/22, 1425.79, 1425.79, 1425.79, 1425.79
07/07/22, 1418.69, 1418.69, 1418.69, 1418.69
07/06/22, 1420.85, 1420.85, 1420.85, 1420.85
07/05/22, 1440.81, 1440.81, 1440.81, 1440.81
07/04/22, 1437.52, 1437.52, 1437.52, 1437.52
07/01/22, 1449.74, 1449.74, 1449.74, 1449.74
06/30/22, 1444.22, 1444.22, 1444.22, 1444.22
06/29/22, 1451.48, 1451.48, 1451.48, 1451.48
06/28/22, 1454.74, 1454.74, 1454.74, 1454.74
06/27/22, 1438.12, 1438.12, 1438.12, 1438.12
06/24/22, 1436.70, 1436.70, 1436.70, 1436.70
06/23/22, 1431.05, 1431.05, 1431.05, 1431.05
06/22/22, 1431.10, 1431.10, 1431.10, 1431.10
06/21/22, 1457.88, 1457.88, 1457.88, 1457.88
06/20/22, 1441.24, 1441.24, 1441.24, 1441.24
06/17/22, 1456.74, 1456.74, 1456.74, 1456.74
06/16/22, 1472.77, 1472.77, 1472.77, 1472.77
06/15/22, 1459.05, 1459.05, 1459.05, 1459.05
06/14/22, 1481.28, 1481.28, 1481.28, 1481.28
06/13/22, 1464.83, 1464.83, 1464.83, 1464.83
06/10/22, 1493.95, 1493.95, 1493.95, 1493.95
06/09/22, 1509.71, 1509.71, 1509.71, 1509.71
06/08/22, 1523.86, 1523.86, 1523.86, 1523.86
06/07/22, 1525.93, 1525.93, 1525.93, 1525.93
06/03/22, 1537.83, 1537.83, 1537.83, 1537.83
06/02/22, 1549.90, 1549.90, 1549.90, 1549.90
06/01/22, 1553.41, 1553.41, 1553.41, 1553.41
05/31/22, 1570.10, 1570.10, 1570.10, 1570.10
05/30/22, 1543.02, 1543.02, 1543.02, 1543.02
05/27/22, 1546.76, 1546.76, 1546.76, 1546.76
