Date, Open, High, Low, Close, Volume
02/13/23, 419.50, 424.89, 415.84, 423.67, 707514
02/10/23, 419.94, 421.16, 412.99, 417.53, 982687
02/09/23, 430.73, 435.56, 421.14, 424.28, 1005222
02/08/23, 429.62, 433.1499, 422.21, 423.20, 1173955
02/07/23, 420.79, 434.57, 419.73, 432.50, 1095147
02/06/23, 419.43, 425.62, 417.29, 419.17, 832122
02/03/23, 424.91, 435.88, 423.83, 426.09, 1851901
02/02/23, 429.08, 438.11, 426.64, 434.57, 2485359
02/01/23, 405.68, 429.02, 405.32, 424.73, 2414734
01/31/23, 395.53, 403.87, 395.15, 403.68, 1034812
01/30/23, 401.55, 403.98, 395.97, 396.29, 1461527
01/27/23, 402.63, 410.62, 401.59, 407.10, 1430049
01/26/23, 407.54, 410.23, 400.80, 409.71, 1298942
01/25/23, 394.76, 403.64, 391.73, 402.92, 1100375
01/24/23, 399.95, 405.60, 399.40, 401.83, 790095
01/23/23, 389.13, 406.24, 388.51, 404.89, 1908852
01/20/23, 377.85, 385.77, 374.01, 385.53, 1117722
01/19/23, 381.20, 381.40, 372.62, 373.83, 1258358
01/18/23, 390.98, 393.73, 384.48, 384.62, 1171147
01/17/23, 384.89, 390.56, 383.08, 386.65, 1005812
01/13/23, 379.63, 386.25, 379.16, 386.21, 693248
01/12/23, 382.05, 386.94, 374.16, 384.62, 1108000
01/11/23, 375.39, 380.16, 372.23, 380.00, 894026
01/10/23, 369.10, 375.67, 367.18, 375.16, 941765
01/09/23, 370.34, 378.79, 367.98, 370.37, 1527153
01/06/23, 352.20, 365.58, 347.44, 363.67, 1632778
01/05/23, 349.97, 352.46, 346.93, 347.50, 890690
01/04/23, 351.15, 355.42, 347.10, 353.46, 1085677
01/03/23, 353.87, 354.50, 342.50, 344.59, 948361
12/30/22, 343.32, 348.56, 340.84, 347.98, 670030
12/29/22, 343.03, 349.92, 341.76, 348.30, 1087675
12/28/22, 340.37, 344.54, 336.15, 337.53, 894012
12/27/22, 346.11, 346.43, 341.00, 342.58, 1164911
12/23/22, 345.56, 348.89, 342.04, 348.88, 857310
12/22/22, 356.20, 356.77, 341.24, 348.58, 1801458
12/21/22, 357.74, 364.46, 357.05, 363.26, 763948
12/20/22, 352.98, 358.52, 352.18, 355.26, 758540
12/19/22, 361.54, 362.37, 353.75, 357.44, 743947
12/16/22, 362.74, 365.89, 358.35, 361.92, 821922
12/15/22, 372.79, 374.41, 364.18, 364.68, 1294421
12/14/22, 385.65, 390.27, 376.34, 380.79, 1324007
12/13/22, 397.21, 398.94, 381.75, 386.59, 1507024
12/12/22, 372.65, 381.53, 370.74, 381.12, 726282
12/09/22, 376.32, 381.11, 373.15, 374.49, 583167
12/08/22, 369.61, 378.26, 367.15, 377.99, 898101
12/07/22, 364.23, 369.95, 363.54, 367.37, 703928
12/06/22, 376.03, 376.42, 364.44, 368.16, 727592
12/05/22, 378.30, 381.95, 372.67, 376.07, 903097
12/02/22, 375.58, 381.49, 373.66, 380.89, 1036946
12/01/22, 390.33, 390.73, 379.87, 385.24, 1376937
11/30/22, 367.44, 388.30, 364.02, 388.03, 1388692
11/29/22, 368.59, 370.66, 363.83, 366.07, 609469
11/28/22, 372.23, 376.17, 364.95, 367.49, 1074009
11/25/22, 379.67, 381.00, 376.91, 376.91, 387977
11/23/22, 377.04, 385.68, 376.99, 382.00, 1301949
11/22/22, 369.66, 377.73, 366.56, 377.44, 1096904
11/21/22, 368.64, 369.96, 365.36, 366.52, 605207
11/18/22, 378.09, 378.17, 368.67, 372.70, 1035088
11/17/22, 361.32, 373.53, 360.67, 371.87, 1324933
11/16/22, 376.10, 376.85, 366.65, 368.98, 1591871
11/15/22, 389.53, 390.59, 379.65, 384.87, 1632574
11/14/22, 376.12, 381.3799, 373.90, 374.03, 1227694
11/11/22, 368.73, 380.39, 364.505, 378.17, 2038025
11/10/22, 351.55, 367.85, 348.62, 366.94, 1782457
11/09/22, 337.69, 339.03, 332.02, 332.53, 1192881
11/08/22, 342.40, 347.56, 336.55, 343.51, 1300376
11/07/22, 332.05, 337.40, 327.71, 336.11, 1182902
11/04/22, 325.79, 329.84, 321.27, 329.00, 1533891
11/03/22, 312.76, 319.33, 309.48, 314.45, 1250738
11/02/22, 331.19, 336.98, 318.30, 318.72, 1064567
11/01/22, 333.04, 334.13, 327.14, 329.11, 936790
10/31/22, 330.74, 331.66, 324.81, 326.48, 798333
10/28/22, 321.75, 334.24, 320.92, 333.75, 1397559
10/27/22, 329.10, 332.19, 320.74, 321.16, 1196474
10/26/22, 323.39, 334.72, 321.80, 326.96, 1604398
10/25/22, 324.20, 332.43, 323.68, 330.21, 923581
10/24/22, 322.53, 324.24, 315.30, 322.84, 1261405
10/21/22, 309.12, 322.2486, 307.77, 321.45, 1234354
10/20/22, 309.72, 319.39, 308.17, 309.93, 1189054
10/19/22, 303.88, 310.94, 302.94, 308.02, 1014496
10/18/22, 314.55, 316.61, 300.66, 306.06, 1186334
10/17/22, 306.63, 309.215, 302.60, 305.01, 1253503
10/14/22, 316.03, 316.03, 297.71, 298.68, 1296903
10/13/22, 291.10, 317.41, 287.82, 311.67, 1637168
10/12/22, 305.52, 307.14, 301.98, 302.95, 1036238
10/11/22, 309.16, 312.03, 301.62, 305.92, 1606222
10/10/22, 324.58, 324.97, 310.26, 314.77, 1555032
10/07/22, 336.32, 337.27, 323.90, 325.85, 1323013
10/06/22, 347.68, 354.08, 345.36, 346.65, 949996
10/05/22, 339.50, 351.56, 336.48, 348.04, 835219
10/04/22, 340.37, 345.63, 339.50, 345.22, 1060760
10/03/22, 322.36, 333.44, 320.05, 329.75, 1249051
09/30/22, 320.096, 328.36, 318.24, 318.73, 907697
09/29/22, 328.58, 329.20, 319.11, 324.29, 1002968
09/28/22, 327.29, 336.01, 325.93, 334.70, 1348358
09/27/22, 332.92, 335.36, 325.28, 330.02, 992539
09/26/22, 330.80, 335.89, 326.39, 326.98, 960475
09/23/22, 334.29, 335.19, 327.71, 333.76, 1293942
09/22/22, 345.76, 347.22, 336.29, 338.29, 978694
09/21/22, 351.95, 363.35, 347.75, 347.75, 1178380
09/20/22, 352.585, 354.30, 348.51, 351.30, 876909
09/19/22, 349.65, 357.91, 349.49, 356.03, 715590
09/16/22, 348.19, 354.55, 345.54, 354.17, 1130722
09/15/22, 355.59, 359.76, 349.67, 352.06, 810928
09/14/22, 356.64, 360.48, 352.66, 358.00, 907633
09/13/22, 363.07, 366.19, 352.91, 353.98, 1354976
09/12/22, 377.21, 379.29, 372.89, 377.42, 870337
09/09/22, 371.62, 377.525, 371.62, 375.59, 688858
09/08/22, 357.21, 368.16, 355.00, 366.79, 941149
09/07/22, 356.14, 363.76, 353.45, 360.71, 566503
09/06/22, 358.79, 360.76, 351.99, 354.71, 897497
09/02/22, 368.42, 370.99, 357.28, 358.85, 1280570
09/01/22, 360.26, 362.88, 351.585, 362.83, 1512561
08/31/22, 375.25, 375.26, 366.46, 369.69, 991641
08/30/22, 382.07, 382.22, 369.01, 373.60, 1070940
08/29/22, 381.69, 386.11, 377.375, 378.00, 858403
08/26/22, 408.07, 409.015, 385.18, 385.79, 945993
08/25/22, 394.91, 409.47, 394.6902, 408.99, 893194
08/24/22, 393.09, 395.89, 389.97, 394.53, 417255
08/23/22, 391.87, 399.54, 391.42, 393.54, 810151
08/22/22, 398.65, 399.40, 389.69, 391.59, 967831
08/19/22, 412.43, 414.52, 404.81, 406.90, 774713
08/18/22, 409.98, 420.98, 408.496, 418.19, 566337
08/17/22, 412.57, 412.77, 403.15, 408.87, 880001
08/16/22, 421.15, 423.00, 414.31, 418.99, 522281
08/15/22, 419.87, 424.50, 417.00, 423.32, 441776
08/12/22, 412.49, 422.89, 410.99, 421.75, 683587
08/11/22, 413.77, 421.86, 408.86, 409.76, 801466
08/10/22, 404.44, 411.05, 399.05, 410.29, 1152032
08/09/22, 403.32, 403.74, 388.52, 393.94, 1456531
08/08/22, 413.42, 418.01, 406.51, 412.86, 1022531
08/05/22, 415.08, 422.81, 413.18, 419.20, 1093265
08/04/22, 418.49, 423.76, 417.265, 422.49, 639658
08/03/22, 408.06, 420.28, 407.80, 419.46, 953587
08/02/22, 404.28, 414.32, 402.57, 408.12, 708259
08/01/22, 404.44, 412.43, 401.78, 408.90, 1270662
07/29/22, 398.37, 408.47, 397.00, 407.33, 1280327
07/28/22, 400.18, 405.09, 391.46, 404.22, 1177446
07/27/22, 388.68, 402.52, 387.51, 399.30, 1071405
07/26/22, 385.72, 387.67, 380.41, 381.83, 836836
07/25/22, 387.77, 388.60, 381.81, 388.30, 954401
07/22/22, 399.35, 399.52, 387.23, 390.77, 1515979
07/21/22, 396.25, 400.90, 390.59, 400.64, 917765
07/20/22, 383.82, 396.07, 381.45, 394.20, 1615061
07/19/22, 373.98, 386.4751, 372.91, 384.40, 1038932
07/18/22, 375.47, 378.35, 365.83, 368.17, 986402
07/15/22, 366.25, 369.94, 360.51, 369.35, 994806
07/14/22, 352.31, 362.28, 347.17, 360.74, 1062319
07/13/22, 344.10, 356.07, 343.40, 353.25, 1188185
07/12/22, 352.57, 355.16, 348.71, 351.27, 1498142
07/11/22, 353.12, 354.88, 348.01, 350.29, 829973
07/08/22, 351.68, 361.00, 350.62, 358.55, 777957
07/07/22, 349.58, 358.64, 349.58, 356.85, 955437
07/06/22, 340.23, 345.56, 336.51, 341.56, 890656
07/05/22, 328.70, 339.90, 326.70, 339.90, 1130424
07/01/22, 343.79, 345.65, 332.88, 337.24, 1291904
06/30/22, 349.28, 356.58, 344.10, 349.61, 1095190
06/29/22, 357.84, 358.26, 349.85, 354.25, 1131216
06/28/22, 374.08, 378.44, 362.24, 362.81, 1017567
06/27/22, 376.27, 377.20, 369.02, 371.88, 832514
06/24/22, 362.67, 372.90, 361.88, 372.90, 1261391
06/23/22, 361.65, 361.96, 351.46, 357.08, 726329
06/22/22, 357.05, 364.66, 356.52, 359.52, 1368925
06/21/22, 361.51, 368.765, 361.2501, 363.31, 943424
06/17/22, 353.40, 356.60, 345.92, 354.04, 1133481
06/16/22, 364.26, 364.63, 348.17, 352.61, 1307103
06/15/22, 373.23, 381.82, 366.81, 375.22, 1270351
06/14/22, 370.87, 372.52, 364.55, 368.88, 943837
06/13/22, 375.00, 379.93, 365.43, 366.84, 1347605
06/10/22, 397.00, 400.43, 388.49, 389.30, 1199796
06/09/22, 411.85, 419.03, 403.63, 403.64, 838980
06/08/22, 422.78, 424.5034, 412.92, 416.06, 1132122
06/07/22, 416.73, 426.31, 413.52, 425.11, 622334
06/06/22, 429.86, 431.28, 418.94, 421.74, 747281
06/03/22, 424.59, 426.99, 419.06, 421.01, 688565
06/02/22, 417.92, 434.42, 417.11, 433.99, 668622
06/01/22, 428.31, 430.4684, 413.58, 419.38, 821959
05/31/22, 427.60, 429.92, 419.60, 426.14, 935724
05/27/22, 417.91, 429.05, 417.91, 428.34, 1055237
05/26/22, 392.24, 413.26, 391.61, 411.42, 988903
05/25/22, 386.32, 399.67, 385.96, 395.95, 837491
05/24/22, 392.26, 393.57, 384.52, 388.95, 955236
05/23/22, 393.87, 399.72, 390.83, 398.66, 1213130
05/20/22, 404.98, 405.01, 379.17, 396.95, 1361272
05/19/22, 397.63, 407.36, 393.70, 397.16, 1101083
05/18/22, 413.84, 419.59, 397.88, 399.58, 1193738
05/17/22, 411.77, 421.87, 410.22, 420.79, 1064391
05/16/22, 403.36, 407.62, 399.78, 401.30, 790808
05/13/22, 394.51, 410.35, 392.42, 407.50, 1574816
05/12/22, 380.61, 390.94, 377.33, 387.71, 1781730
05/11/22, 393.71, 402.98, 384.25, 385.37, 1688666
05/10/22, 399.99, 404.44, 388.43, 397.10, 1492244
05/09/22, 400.26, 405.14, 385.99, 388.27, 1686199
05/06/22, 409.00, 418.21, 401.38, 409.10, 1316802
05/05/22, 426.01, 426.65, 406.63, 412.775, 1532365
05/04/22, 420.69, 434.51, 407.70, 433.79, 1419756
05/03/22, 413.06, 420.87, 410.19, 417.59, 766657
05/02/22, 401.15, 414.62, 398.01, 414.16, 1545115
04/29/22, 412.80, 420.81, 399.62, 400.78, 1396089
04/28/22, 404.77, 423.14, 399.67, 418.67, 1650442
04/27/22, 394.58, 406.72, 393.69, 396.80, 1450053
04/26/22, 411.85, 412.57, 398.51, 398.98, 1947976
04/25/22, 407.20, 417.60, 405.98, 417.49, 2117913
04/22/22, 419.23, 421.56, 409.86, 410.55, 1523146
04/21/22, 436.71, 441.565, 417.72, 419.89, 1200118
04/20/22, 439.20, 443.01, 429.88, 431.40, 1275370
04/19/22, 421.40, 433.27, 419.26, 432.36, 1012219
04/18/22, 413.81, 426.83, 413.30, 423.09, 1210071
04/14/22, 430.51, 430.61, 415.35, 415.89, 1967763
04/13/22, 421.42, 430.68, 418.82, 427.72, 1103011
04/12/22, 428.87, 432.04, 416.52, 418.71, 1964920
04/11/22, 422.46, 426.00, 419.02, 419.99, 1430621
04/08/22, 436.06, 436.22, 428.11, 428.80, 1500109
04/07/22, 438.15, 443.65, 430.51, 439.71, 1170588
04/06/22, 440.00, 446.72, 435.00, 438.75, 1612265
04/05/22, 467.79, 468.19, 448.74, 449.94, 1351644
04/04/22, 465.32, 472.31, 463.57, 471.65, 901740
04/01/22, 475.28, 476.39, 457.18, 464.11, 1797342
03/31/22, 483.94, 486.09, 472.01, 473.28, 1123088
03/30/22, 496.43, 498.19, 481.73, 484.30, 1089722
03/29/22, 496.89, 501.09, 490.20, 500.30, 1031174
03/28/22, 482.41, 489.09, 475.46, 489.09, 911854
03/25/22, 485.88, 487.20, 477.27, 485.32, 1035670
03/24/22, 467.82, 486.80, 465.90, 486.42, 1667502
03/23/22, 471.56, 477.33, 463.79, 463.92, 1176789
03/22/22, 472.43, 481.54, 471.96, 475.91, 962249
03/21/22, 472.40, 477.17, 464.83, 473.29, 1600502
03/18/22, 461.91, 476.15, 459.05, 474.23, 1668156
03/17/22, 457.06, 465.15, 453.53, 465.15, 1377656
03/16/22, 447.12, 462.37, 442.27, 462.30, 1622882
03/15/22, 424.55, 440.70, 421.89, 439.66, 1326800
03/14/22, 433.10, 435.35, 418.36, 420.34, 1894640
03/11/22, 450.37, 451.20, 433.52, 434.40, 2174788
03/10/22, 445.21, 445.65, 435.20, 443.93, 1601873
03/09/22, 449.64, 456.65, 444.52, 453.23, 1566566
03/08/22, 429.73, 450.8915, 422.56, 435.00, 2636475
03/07/22, 450.70, 453.91, 426.73, 426.82, 1956428
03/04/22, 457.11, 461.14, 444.30, 449.36, 1481285
03/03/22, 474.38, 474.52, 458.80, 461.61, 1392639
03/02/22, 460.77, 474.79, 459.70, 471.50, 950196
03/01/22, 472.24, 474.99, 451.96, 456.97, 1421876
02/28/22, 470.85, 478.37, 464.61, 474.16, 1453109
02/25/22, 469.215, 477.06, 462.57, 477.06, 2354988
02/24/22, 435.08, 469.99, 434.0348, 469.24, 2889666
02/23/22, 469.11, 474.00, 451.22, 452.68, 2175224
02/22/22, 461.53, 474.86, 456.37, 463.73, 2790049
02/18/22, 472.058, 473.80, 460.08, 466.57, 1955440
02/17/22, 483.74, 484.41, 471.11, 471.84, 2000958
02/16/22, 484.07, 492.07, 479.79, 490.25, 904402
02/15/22, 474.51, 491.36, 473.25, 490.09, 1627400
02/14/22, 465.60, 473.84, 458.40, 464.46, 1899053
02/11/22, 489.72, 493.28, 460.6892, 464.02, 2627280
02/10/22, 492.32, 507.88, 486.12, 488.90, 1538002
02/09/22, 495.04, 504.69, 488.84, 504.63, 1687020
02/08/22, 474.53, 489.59, 473.74, 488.60, 980395
02/07/22, 478.00, 484.5099, 474.7472, 476.55, 1167410
02/04/22, 471.89, 480.9031, 465.50, 476.82, 1687200
02/03/22, 483.20, 491.19, 472.28, 474.10, 2168821
02/02/22, 493.23, 496.92, 486.26, 495.67, 1742994
02/01/22, 484.16, 484.94, 471.39, 483.46, 1356314
01/31/22, 457.31, 480.1999, 454.79, 479.47, 2615571
01/28/22, 446.11, 455.03, 433.28, 455.03, 2390950
01/27/22, 471.89, 472.46, 444.968, 446.47, 2808296
01/26/22, 473.12, 486.77, 460.20, 467.27, 2836039
01/25/22, 465.75, 471.48, 457.55, 460.20, 3570137
01/24/22, 462.76, 478.93, 446.93, 478.04, 5158196
01/21/22, 477.28, 490.85, 471.59, 472.64, 4648725
01/20/22, 500.03, 504.00, 480.00, 480.64, 2783306
01/19/22, 515.39, 518.56, 495.845, 496.20, 3310558
01/18/22, 526.61, 526.6829, 510.12, 511.24, 2563675
01/14/22, 518.51, 535.66, 518.44, 535.16, 1133893
01/13/22, 543.32, 547.85, 521.32, 522.65, 1089564
01/12/22, 536.37, 540.07, 529.81, 535.14, 1190472
01/11/22, 519.68, 531.86, 515.84, 531.24, 1052373
01/10/22, 514.79, 522.56, 504.00, 521.43, 1792463
01/07/22, 536.29, 538.2499, 519.61, 521.24, 761547
01/06/22, 532.59, 539.32, 526.82, 536.81, 978129
01/05/22, 547.18, 551.88, 532.19, 532.67, 1250557
